"id","city_name","county","state","zone_code","zone_name","zone_type","zone_sub_type","single_family_permitted","two_family_permitted","multi_family_permitted","commercial_uses_permitted","short_term_rentals_permitted"
1681,"San Marcos","San Diego","California","NC","Neighborhood Commercial","Commercial","Neighborhood Commercial",False,False,False,True,False
1344,"Ferris","Ellis","Texas","PD-3","PLANNED DEVELOPMENT DISTRICT","Planned",NULL,NULL,NULL,NULL,NULL,NULL
4610,"Terrell",NULL,"Texas","R","Retail","Commercial","Retail Commercial",NULL,NULL,NULL,NULL,NULL
179,"El Paso","El Paso","Texas","SRR","Special Residential Revitalization District","Mixed","Mixed Use",True,True,True,True,False
1547,"Laguna Niguel","Orange","California","CO","Office Commercial","Commercial","Office",True,False,False,True,False
3247,"Wildomar","Riverside","California","M-SC","Manufacturing Service Commercial","Commercial","Special Commercial",True,False,False,True,False
2697,"Hemet","Riverside","California","C-1","Neighborhood Commercial","Commercial","Neighborhood Commercial",True,False,False,True,False
1545,"Cypress","Orange","California","PC-2","Cypress Corporate Center","Commercial","Core Commercial",True,False,False,True,False
813,"Yorba Linda","Orange","California","OSR","Open Space Ranchette","Special","Special",True,False,False,True,False
127,"Santa Ana","Orange","California","SD91","Specific Development 91","Special","Special",False,False,False,False,False
4610,"Terrell",NULL,"Texas","SF-6","Single Family Residential 6","Residential","Single Family",NULL,NULL,NULL,NULL,NULL
3247,"Wildomar","Riverside","California","R-A","Residential Agricultural","Mixed","Mixed Use",True,False,False,True,False
3247,"Wildomar","Riverside","California","R-A-0.5","Residential Agricultural","Mixed","Mixed Use",True,False,False,True,False
1645,"Frisco","Collin","Texas","C-2","Commercial 2","Commercial","General Commercial",False,False,False,True,False
3247,"Wildomar","Riverside","California","S-P","Specific Plan","Special","Special",True,False,True,True,False
1654,"Chula Vista","San Diego","California","PC13MU/RM1","Mixed Use Residential","Mixed","Mixed Use",False,False,False,True,False
3247,"Wildomar","Riverside","California","C-1/C-P","General Commercial","Commercial","General Commercial",True,False,False,True,False
3247,"Wildomar","Riverside","California","C-O","Commercial Office","Commercial","Office",False,False,False,True,False
3247,"Wildomar","Riverside","California","I-P","Industrial Park","Industrial","Light Industrial",True,False,False,True,False
2628,"Parkland","Broward","Florida","RM-8","Multi Family Low Medium Density Residential District","Residential","Multi Family",True,True,True,True,False
3247,"Wildomar","Riverside","California","R-1","Residential One Family Dwelling","Residential","Single Family",True,False,False,True,False
3247,"Wildomar","Riverside","California","R-1-18000","Residential One Family Dwelling","Residential","Single Family",True,False,False,True,False
3247,"Wildomar","Riverside","California","R-3","General Residential","Residential","Single Family",True,True,True,True,False
